"Day","Cash On Hand"
11,919496
12,904796
13,1092449
14,674866
15,850916
16,731446
17,804776
18,893698
19,1256471
20,1177763
21,1350536
22,1793065
23,1669917
24,1719987
25,1768831
26,2052787
27,2091915
28,3523469
29,3746928
30,3838016
31,3694473
32,3790930
33,6491917
34,7768600
35,7906091
36,7865053
37,7359250
38,7922481
39,7849725
40,7958854
41,8637654
42,9142233
43,9137944
44,11211048
45,12647747
46,12633682
47,12877734
48,13212597
49,13138455
50,12926775
51,13153183
52,14217987
53,14203241
54,15029427
55,15373806
56,15728689
57,15908581
58,15935150
59,16148946
60,16871548
61,17058012
62,17067392
63,17564997
64,17837565
65,19255464
66,19073278
67,20302190
68,20770980
69,20466421
70,21365265
71,22395298
72,24115034
73,24413700
74,24205898
75,24227689
76,24610481
77,25968633
78,26528511
79,26762667
80,26962700
81,27805265
82,27601553
83,27818710
84,29414250
85,31091357
86,31547467
87,32288885
88,33112436
89,33260080
90,33358492
