"Day","Sales","Trading Profit","Operating Expense","Net Profit"
11,1340881,725422,639518,275212
12,1629277,951758,676547,275211
13,1850000,1070550,717950,275210
14,2123362,1265546,757038,275209
15,2415131,1501083,793525, 275200
16,2698144,1752072,830012,275199
17,2967112,2010954,869596,275198
18,3250488,2291217,907074,275197
19,3539465,2572478,945557, 100000
20,3822169,2871776,982034, 99999
21,4103620,3174412,1019459,99998
22,4387903,3489837,1057064,99973
23,4676540,3808844,1094670,99899
24,4964327,4135010,1132276,99799
25,5253921,4471349,1169881,99699
26,5538804,4824077,1207486,99698
27,5822927,5174260,1245092,99697
28,6111922,5541834,1282698,99696
29,6396317,5916921,1320303,99695
30,6683246,6302146,1357908,99694
31,6969945,6692538,1395514,99693
32,7264122,7099932,1433120,99692
33,7556755,7508504,1470726,99691
34,7848566,7927222,1508331,99690
35,8136453,8358433,1545936,99689
36,8427288,8803535,1583542,99688
37,8714437,9254630,1621148,99687
38,9001001,9715679,1658754,99686
39,9289155,10185722,1696360,99685
40,9575577,10668688,1733965,99684
41,9864865,11167405,1771570,99683
42,10155936,11669928,1809176,99682
43,10448573,12186520,1846782,99681
44,10747302,12708025,1884388,99680
45,11052003,13243531,1921994,99679
46,11357761,13790154,1959600,99678
47,11669622,14341963,1997206,99677
48,11985691,14909058,2034812,99676
49,12309275,15491440,2072418,99675
50,12639882,16089110,2110024,99674
51,12977922,16702069,2147630,99673
52,13323706,17330319,2185236,99672
53,13677547,17973862,2222842,99671
54,14039767,18632799,2260448,99670
55,14410795,19307131,2298054,99669
56,14791057,19996859,2335660,99668
57,15180994,20701985,2373266,99667
58,15581052,21422512,2410872,99666
59,15991683,22158442,2448478,99665
60,16413339,22909776,2486084,99664
61,16846480,23676516,2523690,99663
62,17291575,24458664,2561296,99662
63,17749100,25256222,2598902,99661
64,18219537,26069193,2636508,99660
65,18703371,26897580,2674114,99659
66,19201089,27741386,2711720,99658
67,19713282,28600613,2749326,99657
68,20240544,29475265,2786932,99656
69,20783472,30365345,2824538,99655
70,21342668,31270856,2862144,99654
71,21918743,32191803,2899750,99653
72,22512317,33128191,2937356,99652
73,23124018,34080025,2974962,99651
74,23754480,35047311,3012568,99650
75,24404346,36030055,3050174,99649
76,25074269,37028263,3087780,99648
77,25764910,38041942,3125386,99647
78,26476930,39071098,3162992,99646
79,27211096,40115739,3200598,99645
80,27968179,41175871,3238204,99644
81,28748954,42251502,3275810,99643
82,29554207,43342638,3313416,99642
83,30384731,44449386,3351022,99641
84,31241325,45571753,3388628,99640
85,32124800,46709747,3426234,99639
86,33036076,47863376,3463840,99638
87,33976186,49032647,3501446,99637
88,34946174,50217567,3539052,99636
89,35947195,51418144,3576658,99635
90,36980411,52634386,3614264,99634
